tag	artists	albums	tracks
electronic	1354	3439	3439
soundtrack	550	1702	1702
pop	759	1577	1577
ambient	689	1508	1508
rock	792	1399	1399
classical	414	1171	1171
easylistening	421	952	952
experimental	417	827	827
alternative	454	788	788
dance	330	651	651
chillout	312	627	627
orchestral	193	561	561
house	232	482	482
indie	267	478	478
poprock	252	473	473
jazz	243	458	458
techno	234	450	450
hiphop	244	443	443
lounge	232	435	435
newage	193	424	424
folk	223	412	412
world	237	406	406
trance	195	377	377
popfolk	166	299	299
metal	167	275	275
atmospheric	163	272	272
funk	184	268	268
instrumentalpop	160	264	264
progressive	151	242	242
downtempo	119	223	223
electropop	127	212	212
blues	138	205	205
triphop	122	205	205
reggae	116	192	192
rap	131	191	191
symphonic	84	152	152
psychedelic	89	150	150
instrumentalrock	90	140	140
dubstep	80	139	139
latin	89	139	139
punkrock	99	137	137
industrial	89	135	135
minimal	94	127	127
singersongwriter	85	127	127
synthpop	57	120	120
rnb	84	113	113
darkambient	63	107	107
club	78	105	105
drumnbass	80	103	103
fusion	67	101	101
disco	62	101	101
deephouse	43	94	94
ethno	73	88	88
hardrock	67	83	83
edm	32	83	83
dub	62	81	81
grunge	52	80	80
electronica	59	79	79
soul	57	78	78
country	52	78	78
postrock	52	73	73
breakbeat	59	72	72
80s	50	71	71
eurodance	49	70	70
contemporary	52	68	68
improvisation	51	68	68
acidjazz	39	66	66
rocknroll	50	63	63
90s	38	62	62
idm	44	59	59
avantgarde	22	57	57
noise	24	57	57
darkwave	43	56	56
celtic	41	54	54
jazzfusion	27	51	51
chanson	37	51	51
groove	38	49	49
lofi	34	49	49
ska	34	47	47
jazzfunk	40	47	47
worldfusion	28	46	46
gothic	33	46	46
70s	31	45	45
classicrock	36	44	44
electrohouse	31	44	44
alternativerock	41	43	43
newwave	28	42	42
chansonfrancaise	28	42	42
progressiverock	22	42	42
drone	21	41	41
flamenco	26	40	40
hard	35	39	39
techhouse	28	37	37
tribal	30	37	37
60s	27	37	37
ethnicrock	30	36	36
psytrance	20	36	36
oriental	29	36	36
bluesrock	29	35	35
swing	28	34	34
heavymetal	26	34	34
dancepop	22	34	34
8bit	20	33	33
choir	22	32	32
dancehall	15	32	32
glitch	25	32	32
technoindustrial	24	31	31
hardcore	25	31	31
african	25	30	30
neoclassical	18	30	30
bossanova	29	29	29
acid	19	27	27
score	19	27	27
rockfrancais	14	25	25
electrorock	19	25	25
chilloutlounge	18	24	24
garage	19	24	24
minimalism	12	24	24
indiepop	15	23	23
waltz	14	23	23
acidhouse	17	23	23
medieval	20	22	22
jazzrock	17	21	21
powerpop	15	21	21
smoothjazz	14	21	21
minimaltechno	16	20	20
chiptune	13	20	20
jungle	18	19	19
baroque	9	19	19
choral	13	19	19
deathmetal	18	19	19
popfunk	16	18	18
reggaeton	11	18	18
gangstarap	15	18	18
electrojazz	13	17	17
latino	12	17	17
progressivehouse	14	16	16
indietronica	13	16	16
technopop	9	16	16
postpunk	9	16	16
trip	16	16	16
salsa	12	16	16
thrashmetal	11	15	15
trap	13	14	14
asian	14	14	14
electroambient	11	14	14
death	13	14	14
gospel	13	14	14
instrumentalhiphop	10	13	13
ragga	12	13	13
trancetechno	12	13	13
technohouse	11	13	13
rave	11	13	13
trancemelodique	6	12	12
artrock	10	12	12
middleeastern	10	12	12
nujazz	10	12	12
freejazz	8	12	12
ebm	11	12	12
souljazz	9	12	12
dubelectro	11	11	11
elektro	11	11	11
hardstyle	9	11	11
dreampop	9	11	11
electrodance	10	11	11
americana	11	11	11
christian	7	11	11
acidrock	10	10	10
metalcore	9	10	10
powermetal	9	10	10
soundscapes	9	10	10
southernrock	9	10	10
tango	9	10	10
rapfrancais	7	10	10
spacerock	4	9	9
march	7	9	9
stoner	9	9	9
worldmusik	8	9	9
computermusic	8	8	8
variete	7	8	8
gipsy	8	8	8
rocksteady	7	7	7
samba	7	7	7
synthwave	7	7	7
indierockpop	7	7	7
blackmetal	6	7	7
opera	6	7	7
ragtime	6	7	7
darkelectro	7	7	7
jrock	4	7	7
experimentalrock	4	7	7
guitarrock	5	7	7
indierock	6	7	7
emo	5	6	6
guitarras	2	6	6
krautrock	4	6	6
acousticrock	6	6	6
cabaret	5	6	6
shoegaze	6	6	6
progressivemetal	6	6	6
island	6	6	6
numetal	4	5	5
downbeat	5	5	5
dancehouse	5	5	5
goth	4	5	5
britpop	4	5	5
hardtek	4	4	4
hardtrance	4	4	4
countryrock	3	4	4
electropunk	4	4	4
grindcore	3	3	3
rapcore	2	3	3
poppunk	2	3	3
chansonatexte	2	3	3
breakcore	3	3	3
glam	3	3	3
gangsta	3	3	3
christianrap	3	3	3
bebop	3	3	3
tekno	2	2	2
abstracthiphop	1	1	1
doom	1	1	1
droneambient	1	1	1
emocore	1	1	1
manouche	1	1	1
