tag	artists	albums	tracks
happy	142	316	316
energetic	170	290	290
film	152	289	289
relaxing	151	268	268
emotional	130	267	267
melodic	150	240	240
love	146	217	217
inspiring	68	216	216
dark	132	215	215
epic	101	209	209
dream	119	194	194
motivational	56	166	166
christmas	80	164	164
romantic	85	163	163
meditative	85	160	160
sad	103	155	155
advertising	54	152	152
corporate	47	152	152
uplifting	68	137	137
documentary	44	128	128
commercial	43	122	122
children	46	107	107
background	51	105	105
positive	47	104	104
calm	58	104	104
adventure	49	103	103
melancholic	72	102	102
space	67	101	101
action	41	89	89
soundscape	46	87	87
soft	54	86	86
dramatic	46	86	86
comedy	29	81	81
ballad	54	79	79
deep	52	77	77
fun	52	73	73
trailer	33	73	73
drama	39	73	73
slow	45	69	69
upbeat	45	68	68
movie	43	68	68
playful	20	63	63
sport	32	63	63
ambiental	34	59	59
summer	40	57	57
party	37	51	51
animation	2	51	51
nature	29	51	51
entertainment	17	51	51
holiday	32	50	50
hopeful	40	49	49
travel	28	48	48
game	34	47	47
powerful	37	47	47
optimistic	20	46	46
videogame	27	43	43
beautiful	27	43	43
retro	32	43	43
funny	28	43	43
cool	27	40	40
horror	30	39	39
fantasy	28	37	37
halloween	12	36	36
spiritual	21	33	33
fashion	20	32	32
peaceful	20	31	31
heavy	26	31	31
scifi	25	31	31
mysterious	24	31	31
folkrock	26	31	31
nostalgic	19	30	30
sentimental	22	30	30
cheerful	17	28	28
business	13	27	27
sexy	22	27	27
bright	15	26	26
quiet	20	25	25
groovy	24	25	25
scary	20	25	25
catchy	17	25	25
festive	12	25	25
fast	22	24	24
mellow	20	24	24
sweet	19	23	23
dancing	19	23	23
society	9	23	23
sea	18	22	22
dancefloor	19	22	22
joyful	11	21	21
heroic	13	21	21
communication	8	20	20
magic	10	20	20
urban	16	20	20
strange	17	20	20
winter	16	20	20
night	13	19	19
dynamic	14	19	19
thoughtful	16	19	19
suspense	15	19	19
brazil	15	19	19
zen	16	19	19
driving	14	18	18
indian	13	17	17
humor	12	17	17
mystery	10	16	16
traditional	12	16	16
mexico	3	16	16
irish	9	16	16
life	12	16	16
poetry	12	16	16
oldschool	13	16	16
drive	12	16	16
light	14	16	16
weird	14	16	16
arabic	13	16	16
abstract	12	16	16
trippy	15	16	16
chilled	13	16	16
tv	12	15	15
angry	15	15	15
tension	12	15	15
beach	12	15	15
reflective	11	15	15
north	1	14	14
war	14	14	14
lullaby	14	14	14
success	5	14	14
future	10	14	14
western	14	14	14
video	11	14	14
surf	12	14	14
ocean	11	14	14
cosmic	11	13	13
france	8	13	13
warm	12	13	13
youtube	11	13	13
wedding	10	13	13
spacey	10	13	13
thriller	11	13	13
tropical	11	13	13
jingle	10	12	12
culture	6	12	12
history	11	12	12
hypnotic	9	12	12
soulful	12	12	12
crime	12	12	12
crazy	12	12	12
news	8	12	12
aggressive	10	11	11
computers	8	11	11
japan	8	11	11
religious	7	10	10
clubbing	10	10	10
rain	8	10	10
water	9	10	10
political	9	10	10
contemplative	10	10	10
yoga	9	9	9
vintage	9	9	9
extreme	6	9	9
berlin	8	8	8
india	7	8	8
loud	7	8	8
tribe	3	8	8
robot	6	8	8
strong	6	8	8
tech	7	7	7
bouncy	7	7	7
ethereal	7	7	7
planant	7	7	7
psycho	7	7	7
technology	4	6	6
social	6	6	6
sex	6	6	6
eclectic	5	6	6
colombia	5	6	6
anxious	6	6	6
creative	5	5	5
nice	5	5	5
battle	5	5	5
cold	4	5	5
spy	4	5	5
africa	5	5	5
presentation	3	5	5
sleepy	5	5	5
workout	3	4	4
celebration	4	4	4
laidback	3	4	4
dirty	3	4	4
sensible	3	3	3
violence	3	3	3
silly	3	3	3
silentfilm	3	3	3
silence	3	3	3
freedom	3	3	3
science	3	3	3
pensive	3	3	3
lazy	3	3	3
health	3	3	3
excited	3	3	3
chaos	3	3	3
conscient	2	2	2
education	2	2	2
gloomy	2	2	2
poesia	2	2	2
russia	2	2	2
adult	1	2	2
depressed	1	1	1
determined	1	1	1
discontent	1	1	1
drunk	1	1	1
