tag	artists	albums	tracks
piano	861	2083	7629
bass	711	1369	5648
guitar	626	1154	4068
electricguitar	582	1110	4134
synthesizer	559	1274	5563
drum	517	1005	4142
acousticguitar	323	568	1947
voice	257	402	1604
computer	249	510	2080
drums	246	434	1825
violin	235	456	1574
synth	226	395	1172
strings	221	426	1226
drummachine	211	397	1764
keyboard	202	343	1370
flute	176	305	796
electricpiano	175	295	1282
cello	173	307	1114
trumpet	150	245	873
sampler	141	260	1070
orchestra	119	242	640
classicalguitar	117	191	721
saxophone	117	185	761
percussion	114	194	802
doublebass	95	144	440
harp	88	173	589
guitars	86	128	356
beat	85	122	279
viola	85	127	398
synths	82	147	405
accordion	79	122	371
rhodes	76	125	543
pipeorgan	74	104	290
brass	73	127	518
acousticbassguitar	71	106	309
organ	69	113	157
clarinet	69	106	364
trombone	66	102	497
harmonica	64	94	229
bell	61	97	394
pianosolo	60	147	440
ukulele	57	144	386
sax	56	74	135
guitare	54	81	203
horn	52	98	369
synthesizers	51	71	152
violins	50	67	145
oboe	50	83	278
beats	50	85	390
hammond	47	74	409
glockenspiel	47	80	213
bells	47	63	90
electronicorgan	46	79	467
timpani	45	68	202
percussions	44	62	117
choirs	44	71	155
xylophone	44	67	137
slideguitar	44	61	110
sitar	44	51	79
bongo	42	57	112
vibraphone	39	67	158
tambourine	39	51	102
pads	39	54	95
conga	37	46	116
banjo	37	61	145
flutes	37	51	65
electricguitars	34	37	77
cymbal	34	44	173
panflute	34	48	94
synthetizer	33	51	251
keyboards	33	66	601
horns	30	51	98
djembe	29	33	57
mandolin	29	43	109
marimba	29	50	189
vocoder	27	30	44
pad	27	40	95
tuba	27	36	84
guitares	25	54	112
guitareelectrique	24	34	46
bassoon	24	30	76
guitarra	23	25	53
harpsichord	23	32	70
mellotron	22	31	79
cajon	22	27	61
batterie	22	34	89
string	20	25	52
melodica	20	26	58
bassguitar	20	24	71
keys	20	31	58
tabla	20	30	82
taiko	20	28	48
bongos	18	30	206
synthé	17	22	43
woodwind	17	29	198
celesta	17	41	186
violons	16	50	100
piccolo	16	23	34
pianoforte	15	23	58
koto	15	20	36
kalimba	15	23	33
accordeon	15	22	46
violon	15	33	62
tubularbell	15	16	67
triangle	15	17	35
tinwhistle	14	18	48
bagpipes	14	18	32
didgeridoo	14	16	22
pianos	13	16	18
gobletdrum	13	15	20
oud	12	15	37
woodblock	12	16	39
lapsteelguitar	11	17	36
castanets	11	13	28
ewi	11	13	39
cabasa	10	12	34
fiddle	10	11	23
basso	9	12	62
kaosspad	9	13	38
chitarra	9	9	43
bandoneon	9	11	13
theremin	9	9	10
bodhran	8	8	13
santur	8	11	15
carillon	8	13	20
batteria	8	10	72
cowbell	8	8	20
tamtam	8	9	16
flugelhorn	8	10	23
erhu	8	8	21
ney	8	13	30
udu	7	9	9
jewsharp	7	8	11
synthetiseur	7	11	48
bajo	7	7	16
clavier	7	10	23
shamisen	7	9	10
bateria	7	7	21
cimbalom	6	11	52
shekere	6	6	7
dunun	6	6	17
ocarina	6	6	6
cvp509	6	27	267
synthetiseurs	6	6	12
lute	6	6	10
metallophone	6	9	17
balalaika	6	8	29
hang	6	9	18
charango	5	9	9
mellophone	5	5	21
mbira	5	6	13
guiro	5	5	7
steelpan	5	5	8
claviers	5	5	11
euphonium	4	4	4
pandeiro	4	6	8
clavichord	4	4	7
balafon	4	5	5
tambura	4	5	6
berimbau	4	7	17
bombarde	4	7	9
mandola	3	3	6
cuica	3	3	3
musicalsaw	3	6	46
kazoo	3	3	4
teclados	3	9	17
singingbowl	2	2	2
harmonium	2	5	27
alphorn	2	2	2
alboka	2	6	8
bandura	2	2	3
washboard	2	2	12
chapmanstick	2	2	2
lyre	1	1	1
kora	1	1	1
sarrusophone	1	1	1
handbell	1	1	1
surdo	1	1	1
gimbri	1	2	3
sousaphone	1	1	1
glassharmonica	1	1	1
continuum	1	1	1
concertina	1	3	5
sarangi	1	1	1
tubax	1	1	1
