tag	artists	albums	tracks
synthesizer	402	402	402
bass	370	370	370
piano	368	368	368
drums	361	361	361
electricguitar	312	312	312
guitar	267	267	267
acousticguitar	133	133	133
computer	129	129	129
voice	119	119	119
keyboard	109	109	109
drummachine	96	96	96
violin	76	76	76
sampler	63	63	63
electricpiano	50	50	50
cello	49	49	49
strings	46	46	46
saxophone	39	39	39
percussion	36	36	36
classicalguitar	35	35	35
beat	33	33	33
trumpet	31	31	31
flute	29	29	29
orchestra	27	27	27
doublebass	26	26	26
accordion	25	25	25
harp	20	20	20
viola	19	19	19
acousticbassguitar	17	17	17
pipeorgan	17	17	17
trombone	17	17	17
ukulele	15	15	15
bell	14	14	14
horn	14	14	14
rhodes	14	14	14
brass	13	13	13
pad	13	13	13
clarinet	11	11	11
harmonica	11	11	11
oboe	9	9	9
bongo	5	5	5
organ	5	5	5
