tag	artists	albums	tracks
piano	866	2123	7750
synthesizer	744	1820	7496
bass	720	1387	5726
drums	710	1440	6120
guitar	704	1343	4804
electricguitar	605	1152	4241
acousticguitar	323	568	1947
violin	274	571	1837
voice	257	402	1604
computer	249	510	2080
keyboard	244	439	2044
strings	228	442	1278
drummachine	211	397	1764
flute	194	349	859
electricpiano	175	295	1282
cello	173	307	1114
saxophone	158	252	891
trumpet	150	245	873
percussion	145	247	908
sampler	141	260	1070
orchestra	119	242	640
beat	119	197	631
classicalguitar	117	191	721
bell	98	153	473
doublebass	95	144	440
accordion	90	143	416
harp	88	173	589
viola	85	127	398
horn	78	144	463
rhodes	76	125	543
pipeorgan	74	104	290
brass	73	127	518
acousticbassguitar	71	106	309
organ	69	113	157
clarinet	69	106	364
trombone	66	102	497
harmonica	64	94	229
pad	58	85	190
ukulele	57	144	386
bongo	51	84	315
oboe	50	83	278
