tag	artists	albums	tracks
love	272	435	909
happy	266	599	1657
energetic	254	512	1357
dark	252	432	1202
relaxing	241	454	1350
melodic	232	412	1213
sad	223	387	749
dream	215	399	951
film	201	420	1502
emotional	187	438	1271
epic	183	368	982
romantic	164	322	627
melancholic	150	254	441
space	132	203	503
meditative	128	252	742
uplifting	112	258	693
ballad	112	174	334
inspiring	105	342	877
calm	105	207	457
soft	103	192	465
slow	103	159	437
fun	99	160	480
christmas	96	196	623
motivational	89	254	635
positive	88	233	539
upbeat	88	174	444
dramatic	87	177	317
deep	87	134	635
children	85	200	456
adventure	83	191	448
soundscape	81	145	480
summer	77	116	505
powerful	76	127	238
hopeful	75	129	216
advertising	74	236	673
party	74	112	266
background	73	165	496
action	73	163	407
movie	71	129	413
drama	70	168	424
nature	70	127	259
cool	68	111	251
funny	67	98	203
documentary	66	200	612
horror	66	81	158
fast	65	80	119
ambiental	64	111	460
groovy	64	90	194
corporate	62	218	609
commercial	62	199	428
travel	62	110	171
sport	58	111	297
mellow	55	76	154
retro	54	73	213
game	53	84	261
sexy	53	67	122
trailer	51	108	270
heavy	51	60	156
holiday	50	72	176
