tag	artists	albums	tracks
electronic	1546	4091	16480
soundtrack	659	2102	8094
pop	993	2149	7805
piano	866	2123	7750
ambient	884	2080	7570
synthesizer	744	1820	7496
rock	1019	1891	6865
drums	710	1440	6120
bass	720	1387	5726
classical	567	1493	5602
easylistening	583	1423	4833
guitar	704	1343	4804
electricguitar	605	1152	4241
experimental	598	1161	3941
alternative	634	1117	3761
chillout	440	969	3678
dance	464	964	2827
hiphop	335	593	2657
indie	355	673	2632
folk	347	667	2498
orchestral	300	795	2434
jazz	402	748	2371
lounge	331	687	2259
newage	260	600	2202
techno	346	678	2179
poprock	378	750	2172
house	327	685	2169
computer	249	510	2080
keyboard	244	439	2044
acousticguitar	323	568	1947
world	349	621	1887
violin	274	571	1837
popfolk	289	522	1808
drummachine	211	397	1764
happy	266	599	1657
voice	257	402	1604
trance	267	559	1528
film	201	420	1502
instrumentalpop	261	417	1477
metal	232	382	1435
downtempo	189	365	1431
atmospheric	276	489	1395
energetic	254	512	1357
relaxing	241	454	1350
triphop	220	376	1343
funk	319	507	1283
electricpiano	175	295	1282
strings	228	442	1278
emotional	187	438	1271
reggae	206	319	1245
