tag	artists	albums	tracks
happy	256	584	1714
love	252	402	852
dark	250	429	1205
melodic	233	413	1215
sad	196	342	676
relaxing	196	375	1153
epic	185	370	1006
energetic	183	381	1122
dream	160	274	660
emotional	145	258	700
romantic	142	289	566
space	136	208	528
film	135	301	1024
meditative	129	254	764
uplifting	113	260	708
ballad	112	174	334
slow	105	162	440
calm	105	207	462
soft	103	192	469
fun	101	166	521
christmas	97	199	707
dreamy	91	159	361
upbeat	90	181	476
positive	89	243	631
dramatic	88	180	336
deep	87	134	635
melancholic	84	132	198
adventure	83	192	456
soundscape	81	145	481
inspiring	78	232	570
summer	77	117	507
children	76	166	368
powerful	76	129	241
advertising	75	243	703
background	75	168	540
party	75	114	268
action	73	164	434
movie	72	130	419
motivational	72	214	538
emotion	71	206	589
cool	71	116	258
nature	70	127	265
drama	70	168	429
funny	67	100	226
filmmusic	67	102	437
horror	66	81	158
documentary	66	202	616
fast	66	84	124
groovy	64	90	197
corporate	64	227	674
ambiental	64	111	464
commercial	63	202	460
travel	62	110	173
energic	61	85	199
energy	57	90	162
mellow	55	76	157
retro	55	75	221
lovesong	54	58	82
inspirational	54	159	390
game	53	88	291
sexy	53	67	122
melancholy	53	86	166
heavy	52	61	158
holiday	50	74	199
trailer	49	103	259
hopeful	49	91	158
melancolic	48	56	82
comedy	48	125	318
relaxed	48	62	109
beautiful	47	98	260
sadness	46	59	86
sentimental	45	79	155
light	45	62	138
bright	44	82	187
mysterious	44	75	135
night	44	63	101
dancefloor	44	55	117
sport	43	92	238
peaceful	43	72	181
filmscore	43	66	273
western	42	51	99
fantasy	42	66	161
nostalgic	42	74	179
romance	42	54	103
life	42	56	83
dancing	41	53	73
videogame	41	77	156
sea	41	53	90
strange	40	72	112
hope	39	46	62
driving	39	59	142
urban	39	49	108
beach	39	48	66
optimistic	38	100	227
folkrock	38	53	210
sweet	37	64	181
fashion	37	72	193
spiritual	37	56	125
scifi	37	60	197
indian	37	43	90
war	36	42	91
soulful	36	45	91
arabic	36	42	67
quiet	36	59	166
cheerful	36	61	97
winter	35	39	62
jingle	34	55	140
thoughtful	34	54	169
suspense	34	48	117
playful	33	99	525
joyful	33	56	83
motivation	32	51	99
tension	32	61	93
scary	32	53	89
angry	32	36	68
happiness	31	59	116
warm	30	39	66
water	30	33	45
oldschool	30	41	91
bouncy	29	46	77
rain	29	35	40
chilled	29	41	65
catchy	29	57	138
traditional	28	39	67
lullaby	28	33	88
trippy	28	38	82
humor	28	40	81
aggressive	28	33	57
future	27	35	73
hypnotic	27	38	72
battle	27	40	57
sports	27	39	105
weird	27	36	64
dynamic	25	47	129
africa	25	29	30
cinema	25	28	44
halloween	24	50	102
thriller	24	30	66
entertainment	24	92	280
poetry	24	29	73
drive	24	32	95
magic	24	38	69
tv	24	32	65
wedding	23	32	57
mystery	23	31	56
crazy	23	26	57
reflective	23	48	145
ocean	23	28	66
heroic	23	46	105
cosmic	23	26	60
sex	23	26	38
abstract	23	29	72
ethereal	23	26	35
crime	23	29	38
strong	23	39	52
brazil	23	29	102
relaxation	22	28	75
irish	21	31	45
business	21	40	114
spacey	21	30	46
kids	20	57	147
video	20	34	77
child	20	22	39
clubbing	20	21	42
relaxingmusic	19	26	62
contemplative	19	24	40
news	19	27	81
trailermusic	19	24	76
cold	19	22	26
surf	18	23	58
zen	18	32	96
india	18	19	21
vintage	18	23	35
tech	18	24	40
youtube	18	32	76
yoga	18	23	56
tropical	17	19	82
social	17	19	44
history	17	28	56
joy	17	20	31
lovemusic	17	17	21
loud	16	23	32
dirty	16	19	30
france	16	21	135
political	16	19	37
communication	16	43	147
xmas	15	24	62
psycho	15	16	17
nice	15	16	32
japan	15	23	48
laidback	15	22	54
festive	14	47	105
science	14	14	26
motivate	14	26	55
culture	14	33	48
religious	14	19	47
computers	14	19	39
epicmusic	14	14	58
darkness	13	15	31
robot	13	17	32
society	13	46	96
berlin	12	12	61
freedom	12	12	16
health	12	17	26
celebration	11	12	28
technology	11	23	42
violence	11	12	15
planant	11	13	34
sleepy	10	10	12
extreme	10	18	55
anxious	10	11	22
silly	10	11	13
success	10	24	66
creative	10	12	30
presentation	9	17	38
sciencefiction	9	11	20
high	8	8	14
lazy	8	9	11
eclectic	7	9	45
gloomy	7	9	11
festif	7	11	31
drunk	7	7	7
tribe	7	12	13
spy	7	11	21
sensible	6	6	19
colombia	6	7	9
russia	5	5	10
depressed	5	5	5
mexico	5	19	177
education	5	9	11
pensive	5	8	9
poesia	5	5	10
silence	5	5	8
workout	4	5	9
silentfilm	4	4	9
chaos	4	4	12
argentina	3	3	4
excited	3	4	6
adult	3	4	5
animation	3	58	157
determined	3	3	3
conscient	2	2	21
busy	2	3	3
loved	2	2	3
discontent	2	2	3
confused	2	2	3
curious	2	2	3
thankful	2	2	2
north	2	15	282
productive	1	2	3
nervous	1	1	1
impressed	1	1	1
disappointed	1	1	1
guilty	1	1	1
awake	1	1	1
