TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS
track_0000946	artist_000087	album_000149	46/946.mp3	241.7	instrument---synthesizer
track_0000947	artist_000087	album_000149	47/947.mp3	182.4	instrument---synthesizer
track_0000948	artist_000087	album_000149	48/948.mp3	212.7	instrument---synthesizer
track_0000949	artist_000087	album_000149	49/949.mp3	211.1	instrument---synthesizer
track_0000950	artist_000087	album_000149	50/950.mp3	248.0	instrument---synthesizer
track_0000951	artist_000087	album_000149	51/951.mp3	199.7	instrument---synthesizer
track_0000952	artist_000087	album_000149	52/952.mp3	291.1	instrument---synthesizer
track_0000953	artist_000087	album_000149	53/953.mp3	181.9	instrument---synthesizer
track_0000954	artist_000087	album_000149	54/954.mp3	218.5	instrument---synthesizer
track_0000955	artist_000087	album_000149	55/955.mp3	217.5	instrument---synthesizer
track_0000956	artist_000087	album_000149	56/956.mp3	380.1	instrument---synthesizer
track_0000957	artist_000087	album_000149	57/957.mp3	239.8	instrument---synthesizer
track_0000958	artist_000087	album_000149	58/958.mp3	247.0	instrument---synthesizer
track_0002168	artist_000326	album_000347	68/2168.mp3	242.1	instrument---strings	instrument---synthesizer
track_0002171	artist_000326	album_000347	71/2171.mp3	259.1	instrument---beat	instrument---voice
track_0002966	artist_000441	album_000460	66/2966.mp3	198.8	instrument---guitar
track_0002967	artist_000441	album_000460	67/2967.mp3	259.4	instrument---guitar
track_0002968	artist_000441	album_000460	68/2968.mp3	270.2	instrument---guitar
track_0002969	artist_000441	album_000460	69/2969.mp3	168.8	instrument---guitar
track_0002970	artist_000441	album_000460	70/2970.mp3	175.4	instrument---guitar
track_0002971	artist_000441	album_000460	71/2971.mp3	239.0	instrument---guitar
track_0002972	artist_000441	album_000460	72/2972.mp3	239.7	instrument---guitar
track_0004887	artist_000696	album_000751	87/4887.mp3	251.7	instrument---piano
track_0004888	artist_000696	album_000751	88/4888.mp3	87.4	instrument---guitar
track_0004890	artist_000696	album_000751	90/4890.mp3	374.3	instrument---piano
track_0005087	artist_000696	album_000786	87/5087.mp3	109.1	instrument---guitar
track_0005090	artist_000696	album_000786	90/5090.mp3	163.3	instrument---guitar
track_0006247	artist_000811	album_000960	47/6247.mp3	381.7	instrument---cello	instrument---keyboard	instrument---trombone
track_0006248	artist_000811	album_000960	48/6248.mp3	249.8	instrument---piano
track_0006249	artist_000811	album_000960	49/6249.mp3	364.7	instrument---keyboard	instrument---trombone
track_0006250	artist_000811	album_000960	50/6250.mp3	238.4	instrument---keyboard	instrument---trombone
track_0006251	artist_000811	album_000960	51/6251.mp3	392.4	instrument---keyboard	instrument---trombone
track_0006252	artist_000811	album_000960	52/6252.mp3	340.8	instrument---keyboard	instrument---trombone
track_0006253	artist_000811	album_000960	53/6253.mp3	271.8	instrument---cello	instrument---clarinet	instrument---doublebass	instrument---horn	instrument---keyboard	instrument---trombone	instrument---trumpet	instrument---violin
track_0006254	artist_000811	album_000960	54/6254.mp3	481.6	instrument---cello	instrument---clarinet	instrument---doublebass	instrument---horn	instrument---keyboard	instrument---trombone	instrument---trumpet	instrument---violin
track_0006256	artist_000811	album_000960	56/6256.mp3	236.5	instrument---cello	instrument---clarinet	instrument---doublebass	instrument---horn	instrument---keyboard	instrument---trombone	instrument---trumpet	instrument---violin
track_0006257	artist_000811	album_000960	57/6257.mp3	207.8	instrument---cello	instrument---clarinet	instrument---doublebass	instrument---horn	instrument---keyboard	instrument---trombone	instrument---trumpet	instrument---violin
