tag	artists	albums	tracks
piano	863	2097	7717
bass	711	1376	5790
guitar	628	1157	4109
electricguitar	584	1116	4298
synthesizer	560	1281	5725
drum	518	1013	4316
acousticguitar	325	570	1969
voice	257	403	1619
computer	250	512	2091
drums	246	437	1837
violin	235	462	1614
synth	227	396	1174
strings	223	431	1259
drummachine	212	399	1798
keyboard	203	344	1421
flute	177	308	820
electricpiano	175	295	1284
cello	173	309	1122
trumpet	150	246	875
sampler	142	262	1083
orchestra	119	242	648
classicalguitar	118	193	735
percussion	117	198	811
saxophone	117	185	761
doublebass	96	148	454
harp	89	175	595
beat	87	124	282
guitars	86	128	358
viola	85	129	403
synths	82	148	411
accordion	80	123	372
rhodes	76	125	543
pipeorgan	76	106	293
brass	73	127	519
acousticbassguitar	71	106	309
organ	70	114	158
clarinet	69	109	373
trombone	67	104	502
harmonica	64	94	229
bell	62	98	473
pianosolo	60	147	442
ukulele	57	144	406
sax	56	74	135
guitare	54	81	204
horn	52	99	371
synthesizers	51	71	152
beats	50	85	392
oboe	50	83	281
violins	50	67	145
bells	49	66	110
glockenspiel	48	81	218
hammond	47	74	409
electronicorgan	46	79	467
timpani	46	69	204
sitar	46	53	81
slideguitar	45	63	112
choirs	44	71	156
xylophone	44	71	144
percussions	44	62	118
bongo	42	58	115
vibraphone	39	68	159
pads	39	54	95
tambourine	39	51	103
banjo	38	63	154
flutes	37	51	67
conga	37	46	117
panflute	34	48	112
cymbal	34	45	175
electricguitars	34	37	77
keyboards	33	66	601
synthetizer	33	51	251
marimba	32	53	192
horns	30	51	98
mandolin	29	43	109
djembe	29	33	57
pad	27	40	95
tuba	27	36	84
vocoder	27	30	44
guitares	25	54	112
guitareelectrique	24	34	46
bassoon	24	32	79
harpsichord	23	33	72
guitarra	23	25	53
batterie	22	34	89
mellotron	22	31	79
cajon	22	27	63
keys	20	31	58
tabla	20	30	83
taiko	20	28	48
melodica	20	26	58
string	20	25	52
bassguitar	20	24	72
bongos	19	31	207
celesta	18	42	189
woodwind	17	29	198
synthé	17	22	43
violons	16	51	101
piccolo	16	24	35
accordeon	16	23	48
violon	15	34	63
pianoforte	15	23	58
kalimba	15	23	34
koto	15	20	36
triangle	15	17	46
tubularbell	15	16	79
tinwhistle	14	18	48
bagpipes	14	18	32
didgeridoo	14	16	22
pianos	13	16	18
gobletdrum	13	15	20
woodblock	12	16	39
oud	12	15	38
lapsteelguitar	11	17	37
ewi	11	13	39
cabasa	11	13	35
castanets	11	13	28
fiddle	10	11	23
kaosspad	9	13	38
basso	9	12	62
bandoneon	9	11	13
chitarra	9	9	43
theremin	9	9	10
ney	8	13	30
carillon	8	13	20
synthetiseur	8	12	49
santur	8	11	15
batteria	8	10	72
flugelhorn	8	10	23
tamtam	8	9	16
erhu	8	8	21
cowbell	8	8	20
bodhran	8	8	13
clavier	7	10	23
shamisen	7	9	10
udu	7	9	9
jewsharp	7	8	11
bateria	7	7	21
bajo	7	7	16
cvp509	6	27	267
cimbalom	6	12	53
hang	6	9	18
metallophone	6	9	18
balalaika	6	8	29
dunun	6	6	17
synthetiseurs	6	6	12
lute	6	6	10
shekere	6	6	7
ocarina	6	6	6
charango	5	9	9
mbira	5	6	13
mellophone	5	5	21
claviers	5	5	11
steelpan	5	5	8
guiro	5	5	7
berimbau	4	7	18
bombarde	4	7	9
pandeiro	4	6	8
tambura	4	5	6
balafon	4	5	5
clavichord	4	4	7
euphonium	4	4	4
teclados	3	9	17
musicalsaw	3	6	46
mandola	3	3	6
kazoo	3	3	4
cuica	3	3	3
alboka	2	6	8
harmonium	2	5	27
washboard	2	2	12
bandura	2	2	3
alphorn	2	2	2
chapmanstick	2	2	2
singingbowl	2	2	2
concertina	1	3	5
gimbri	1	2	3
continuum	1	1	1
glassharmonica	1	1	1
handbell	1	1	1
kora	1	1	1
lyre	1	1	1
sarangi	1	1	1
sarrusophone	1	1	1
sousaphone	1	1	1
surdo	1	1	1
tubax	1	1	1
