tag	artists	albums	tracks
melodic	79	79	79
film	74	74	74
energetic	70	70	70
love	67	67	67
dark	62	62	62
relaxing	58	58	58
epic	55	55	55
happy	54	54	54
dream	47	47	47
emotional	40	40	40
deep	39	39	39
sad	36	36	36
romantic	32	32	32
uplifting	30	30	30
meditative	29	29	29
space	29	29	29
melancholic	27	27	27
ballad	26	26	26
inspiring	25	25	25
calm	23	23	23
christmas	23	23	23
motivational	20	20	20
soundscape	20	20	20
background	18	18	18
children	18	18	18
documentary	18	18	18
movie	18	18	18
party	17	17	17
soft	17	17	17
corporate	16	16	16
fast	16	16	16
groovy	14	14	14
heavy	14	14	14
hopeful	14	14	14
positive	14	14	14
slow	14	14	14
upbeat	14	14	14
commercial	13	13	13
dramatic	13	13	13
fun	13	13	13
trailer	13	13	13
advertising	12	12	12
summer	12	12	12
adventure	11	11	11
funny	11	11	11
mellow	11	11	11
powerful	11	11	11
ambiental	10	10	10
drama	10	10	10
game	10	10	10
horror	10	10	10
cool	9	9	9
holiday	9	9	9
retro	8	8	8
sport	8	8	8
action	7	7	7
travel	7	7	7
sexy	5	5	5
nature	4	4	4
