tag	artists	albums	tracks
synthesizer	375	375	375
bass	362	362	362
piano	359	359	359
drums	356	356	356
electricguitar	314	314	314
guitar	273	273	273
acousticguitar	134	134	134
keyboard	124	124	124
voice	123	123	123
computer	122	122	122
violin	87	87	87
drummachine	84	84	84
sampler	64	64	64
electricpiano	53	53	53
cello	47	47	47
strings	42	42	42
saxophone	41	41	41
beat	40	40	40
percussion	40	40	40
classicalguitar	35	35	35
flute	34	34	34
trumpet	27	27	27
orchestra	25	25	25
accordion	23	23	23
doublebass	22	22	22
harp	22	22	22
acousticbassguitar	19	19	19
viola	17	17	17
rhodes	16	16	16
bell	14	14	14
bongo	14	14	14
horn	14	14	14
harmonica	13	13	13
ukulele	13	13	13
pipeorgan	12	12	12
trombone	12	12	12
brass	10	10	10
pad	10	10	10
clarinet	8	8	8
oboe	4	4	4
organ	4	4	4
