tag	artists	albums	tracks
drums	230	230	230
synthesizer	227	227	227
bass	224	224	224
piano	211	211	211
electricguitar	185	185	185
guitar	169	169	169
acousticguitar	83	83	83
computer	74	74	74
voice	69	69	69
violin	64	64	64
keyboard	64	64	64
cello	47	47	47
drummachine	45	45	45
sampler	43	43	43
strings	42	42	42
saxophone	41	41	41
beat	40	40	40
percussion	40	40	40
classicalguitar	35	35	35
electricpiano	35	35	35
flute	34	34	34
trumpet	27	27	27
orchestra	25	25	25
accordion	23	23	23
doublebass	22	22	22
harp	22	22	22
acousticbassguitar	19	19	19
viola	17	17	17
rhodes	16	16	16
bongo	14	14	14
horn	14	14	14
bell	14	14	14
harmonica	13	13	13
ukulele	13	13	13
pipeorgan	12	12	12
trombone	12	12	12
brass	10	10	10
pad	10	10	10
clarinet	8	8	8
oboe	4	4	4
organ	4	4	4
