tag	artists	albums	tracks
electronic	420	420	420
rock	253	253	253
ambient	231	231	231
soundtrack	210	210	210
pop	207	207	207
classical	142	142	142
alternative	110	110	110
experimental	106	106	106
easylistening	95	95	95
indie	88	88	88
dance	86	86	86
world	76	76	76
jazz	76	76	76
chillout	75	75	75
folk	74	74	74
funk	71	71	71
hiphop	69	69	69
house	68	68	68
poprock	65	65	65
metal	63	63	63
newage	58	58	58
orchestral	58	58	58
techno	55	55	55
lounge	54	54	54
atmospheric	52	52	52
industrial	49	49	49
rnb	48	48	48
blues	45	45	45
latin	45	45	45
electropop	44	44	44
singersongwriter	44	44	44
hardrock	41	41	41
popfolk	40	40	40
postrock	40	40	40
minimal	39	39	39
dubstep	37	37	37
progressive	36	36	36
symphonic	36	36	36
drumnbass	35	35	35
reggae	35	35	35
grunge	34	34	34
disco	33	33	33
downtempo	32	32	32
fusion	32	32	32
improvisation	32	32	32
rocknroll	32	32	32
triphop	32	32	32
club	31	31	31
dub	30	30	30
rap	29	29	29
trance	28	28	28
contemporary	27	27	27
ethno	27	27	27
punkrock	27	27	27
electronica	26	26	26
psychedelic	26	26	26
soul	26	26	26
breakbeat	25	25	25
darkwave	24	24	24
synthpop	23	23	23
instrumentalrock	23	23	23
idm	23	23	23
instrumentalpop	23	23	23
alternativerock	22	22	22
chanson	22	22	22
country	21	21	21
classicrock	20	20	20
ska	20	20	20
deephouse	18	18	18
jazzfunk	18	18	18
newwave	18	18	18
ethnicrock	17	17	17
acidjazz	17	17	17
darkambient	16	16	16
eurodance	16	16	16
gothic	16	16	16
edm	16	16	16
80s	15	15	15
celtic	15	15	15
hard	15	15	15
heavymetal	15	15	15
bluesrock	14	14	14
groove	13	13	13
bossanova	12	12	12
medieval	11	11	11
90s	11	11	11
60s	10	10	10
african	10	10	10
swing	10	10	10
70s	8	8	8
tribal	8	8	8
worldfusion	8	8	8
jazzfusion	6	6	6
oriental	6	6	6
choir	3	3	3
