tag	tracks
electronic	16326
soundtrack	7946
pop	7805
ambient	7467
rock	6865
classical	5599
easylistening	4833
experimental	3941
alternative	3761
chillout	3678
dance	2809
hiphop	2657
indie	2632
folk	2498
orchestral	2434
jazz	2371
lounge	2211
newage	2202
techno	2172
house	2137
poprock	2120
world	1887
popfolk	1759
trance	1523
instrumentalpop	1477
metal	1435
downtempo	1431
atmospheric	1395
triphop	1343
funk	1283
reggae	1245
blues	1082
progressive	1034
rap	987
electropop	937
singersongwriter	776
symphonic	712
latin	704
industrial	696
synthpop	635
minimal	629
punk	603
instrumentalrock	598
psychedelic	590
country	584
club	579
dubstep	547
fusion	512
rnb	512
darkambient	509
soul	504
drumnbass	501
hardrock	490
disco	447
dub	445
ethno	429
deephouse	427
breakbeat	382
postrock	377
grunge	375
90s	359
improvisation	332
contemporary	318
80s	312
chanson	310
celtic	308
acidjazz	304
idm	287
darkwave	282
edm	281
eletronica	277
rocknroll	277
ska	267
eurodance	244
classicrock	222
heavymetal	222
soundtracks	221
jazzfusion	221
punkrock	219
groove	216
worldfusion	214
electronical	213
gothic	213
70s	202
jazzfunk	191
newwave	187
alternativerock	180
60s	179
hard	177
tribal	175
swing	169
choir	167
electronicmusic	159
electronik	155
bossanova	148
ethnicrock	140
bluesrock	139
medieval	135
oriental	134
african	121
