tag	artists	albums	tracks
piano	861	2083	7629
bass	711	1369	5648
guitar	636	1170	4110
electricguitar	582	1110	4134
synthesizer	559	1274	5563
drum	517	1005	4142
acousticguitar	323	568	1947
voice	257	402	1604
computer	249	510	2080
drums	246	434	1825
violin	235	456	1574
synth	226	395	1172
strings	221	426	1226
drummachine	211	397	1764
keyboard	202	343	1370
flute	176	305	796
electricpiano	175	295	1282
cello	173	307	1114
trumpet	150	245	873
sampler	141	260	1070
orchestra	119	242	640
classicalguitar	117	191	721
saxophone	117	185	761
percussion	114	194	802
doublebass	95	144	440
harp	88	173	589
guitars	86	128	356
beat	85	122	279
viola	85	127	398
synths	82	147	405
accordion	79	122	371
rhodes	76	125	543
pipeorgan	74	104	290
brass	73	127	518
acousticbassguitar	71	106	309
organ	69	113	157
clarinet	69	106	364
trombone	66	102	497
harmonica	64	94	229
bell	61	97	394
pianosolo	60	147	440
ukulele	57	144	386
sax	56	74	135
guitare	54	81	203
horn	52	98	369
synthesizers	51	71	152
beats	50	85	390
oboe	50	83	278
violins	50	67	145
