tag	artists	albums	tracks
electronic	1532	4061	16526
rock	1019	1895	6969
pop	993	2161	8014
ambient	874	2060	7548
soundtrack	638	2064	8108
alternative	637	1123	3776
experimental	601	1170	3998
easylistening	586	1431	4971
classical	571	1508	5693
dance	465	972	2921
chillout	441	973	3760
jazz	403	754	2387
poprock	360	725	2229
indie	356	674	2641
world	351	624	1898
folk	350	672	2517
techno	345	676	2195
hiphop	336	594	2670
lounge	328	680	2236
house	325	677	2139
funk	320	511	1324
orchestral	302	802	2478
popfolk	285	507	1789
atmospheric	279	493	1407
trance	265	555	1537
newage	262	602	2211
instrumentalpop	261	419	1492
blues	253	407	1092
metal	232	382	1438
progressive	224	366	1064
triphop	220	376	1344
electropop	210	389	954
reggae	206	320	1249
downtempo	189	365	1444
minimal	176	258	650
rap	170	258	989
psychedelic	160	253	590
instrumentalrock	151	218	622
rnb	146	202	513
industrial	144	215	704
drumnbass	141	218	507
dubstep	141	232	552
latin	141	240	714
ethno	139	186	433
fusion	135	213	514
club	133	200	584
symphonic	132	246	717
punk	128	183	607
country	127	197	599
singersongwriter	123	213	778
disco	123	189	448
eletronica	122	159	279
darkambient	119	224	533
synthpop	118	223	651
breakbeat	118	165	395
soul	115	163	505
dub	112	163	449
hardrock	109	146	494
80s	96	139	317
contemporary	92	128	327
eurodance	88	136	250
improvisation	83	113	338
rocknroll	82	115	280
grunge	81	122	378
groove	80	108	223
postrock	79	112	377
soundtracks	77	108	231
90s	75	118	363
deephouse	74	147	428
celtic	74	107	308
electronical	73	86	213
jazzfunk	73	107	191
idm	71	101	287
bossanova	70	82	149
darkwave	67	102	292
alternativerock	67	80	182
swing	66	85	169
70s	66	97	203
classicrock	66	98	225
acidjazz	64	116	304
electronik	64	76	156
newwave	64	90	187
punkrock	64	86	222
oriental	62	75	136
hard	60	69	178
chanson	59	83	311
ethnicrock	59	68	142
jazzfusion	57	106	221
60s	57	88	179
choir	57	91	169
gothic	54	70	213
ska	54	78	267
edm	54	116	281
worldfusion	53	80	215
heavymetal	52	71	222
medieval	52	68	136
electronicmusic	52	64	160
tribal	52	70	178
bluesrock	52	72	139
african	50	64	122
electrorock	49	58	104
rockpop	49	63	102
lofi	48	77	246
hardcore	48	68	197
dancepop	47	73	119
waltz	46	66	86
glitch	46	61	144
powerpop	44	74	166
noise	44	89	287
flamenco	44	71	136
acid	40	53	117
chilloutlounge	40	56	122
minimaltechno	40	48	92
technoindustrial	40	74	220
garage	39	48	128
acidhouse	39	61	90
progressiverock	39	70	201
avantgarde	39	86	291
rockandroll	38	47	98
psytrance	38	61	134
dancehall	38	67	416
chansonfrancaise	37	56	173
jungle	36	41	98
techhouse	36	49	88
ambiente	34	45	89
elektro	32	34	44
electrohouse	31	40	108
drone	31	53	200
8bit	30	47	166
popfunk	30	36	74
indiepop	30	46	107
latino	30	37	61
ambiant	29	54	123
gangstarap	29	35	77
choral	29	41	85
tango	29	30	35
asian	29	37	98
trap	28	33	64
trip	27	30	50
gospel	27	30	66
score	27	53	261
samba	27	34	43
jazzrock	26	34	87
gipsy	26	29	48
houseelectro	26	38	92
popelectro	26	28	67
souljazz	26	32	51
ebm	25	28	92
dancemusic	25	27	47
rhythmandblues	25	32	63
middleeastern	24	28	59
folkpop	24	35	102
electrodance	23	30	36
ragga	23	26	110
freejazz	23	31	41
progressivehouse	22	25	56
neoclassical	22	37	118
loungemusic	22	30	66
reggaeton	22	30	78
thrashmetal	22	26	113
southernrock	21	28	58
rave	21	23	56
rockfrancais	21	35	93
housemusic	21	30	84
acidrock	21	26	38
baroque	20	34	146
deathmetal	20	23	82
minimalism	20	46	161
trancemusic	20	25	55
electrojazz	20	26	72
chiptune	20	33	128
death	19	21	70
guitarrock	19	21	35
hardstyle	19	30	94
technohouse	19	22	52
americana	18	22	81
smoothjazz	18	31	55
dubelectro	18	19	30
downbeat	18	20	44
electroambient	18	27	76
technopop	17	37	70
salsa	17	22	38
island	17	18	31
dancehouse	17	18	22
march	17	23	35
ambientmusic	17	25	49
soundscapes	16	20	48
powermetal	16	18	54
electropunk	15	16	28
emo	15	18	32
computermusic	15	15	21
metalcore	15	16	46
shoegaze	15	18	46
classicalmusic	15	20	61
trancetechno	15	17	20
electronicambient	15	15	33
indietronica	15	22	62
prog	15	18	46
artrock	14	17	74
electronika	14	17	50
rocksteady	14	17	36
postpunk	14	23	51
instrumentalhiphop	13	18	120
countryrock	13	17	25
nujazz	13	20	47
acousticrock	13	14	21
christian	13	19	66
darkelectro	12	12	33
indierock	12	15	41
dreampop	12	15	32
ragtime	12	13	20
opera	12	14	27
variete	11	12	28
breakcore	11	13	33
cabaret	11	14	41
hardtrance	10	10	28
gangsta	10	10	16
synthwave	10	13	41
worldmusik	10	13	54
raps	10	11	19
stoner	9	9	37
trancemelodique	9	18	61
indierockpop	9	9	26
hardtek	9	9	11
spacerock	9	14	24
krautrock	8	12	23
manouche	8	8	15
rapfrancais	8	13	38
bebop	8	10	26
tecno	8	9	10
rockalternatif	8	8	35
jrock	8	12	23
experimentalrock	7	10	20
britpop	7	9	27
progressivemetal	7	9	49
blackmetal	7	8	22
goth	7	9	36
glam	7	10	19
numetal	6	7	18
guitarras	6	11	38
abstracthiphop	5	7	7
poppunk	5	7	11
grindcore	5	5	20
doom	4	5	8
emocore	4	4	5
christianrap	4	4	4
hiphopinstrumental	3	6	50
rapcore	3	5	12
tekno	2	2	11
droneambient	2	2	3
chansonatexte	2	3	9
deutschrock	1	1	1
