tag	artists	albums	tracks
electronic	1044	1044	1044
rock	575	575	575
pop	526	526	526
ambient	433	433	433
soundtrack	339	339	339
alternative	315	315	315
experimental	265	265	265
classical	245	245	245
easylistening	241	241	241
hiphop	181	181	181
indie	179	179	179
dance	165	165	165
chillout	149	149	149
jazz	142	142	142
folk	139	139	139
techno	137	137	137
metal	134	134	134
poprock	129	129	129
house	122	122	122
lounge	119	119	119
world	118	118	118
newage	103	103	103
instrumentalpop	102	102	102
funk	100	100	100
popfolk	95	95	95
rap	93	93	93
trance	90	90	90
orchestral	81	81	81
atmospheric	80	80	80
reggae	78	78	78
blues	77	77	77
punkrock	76	76	76
progressive	75	75	75
triphop	69	69	69
instrumentalrock	66	66	66
downtempo	60	60	60
psychedelic	60	60	60
industrial	49	49	49
rnb	48	48	48
latin	45	45	45
electropop	44	44	44
singersongwriter	44	44	44
hardrock	41	41	41
postrock	40	40	40
minimal	39	39	39
dubstep	37	37	37
symphonic	36	36	36
drumnbass	35	35	35
grunge	34	34	34
disco	33	33	33
fusion	32	32	32
improvisation	32	32	32
rocknroll	32	32	32
club	31	31	31
dub	30	30	30
contemporary	27	27	27
ethno	27	27	27
electronica	26	26	26
soul	26	26	26
breakbeat	25	25	25
darkwave	24	24	24
idm	23	23	23
synthpop	23	23	23
alternativerock	22	22	22
chanson	22	22	22
country	21	21	21
classicrock	20	20	20
ska	20	20	20
