tag	artists	albums	tracks
synthesizer	346	346	346
bass	343	343	343
drums	330	330	330
electricguitar	302	302	302
piano	300	300	300
guitar	243	243	243
acousticguitar	134	134	134
keyboard	124	124	124
voice	123	123	123
computer	122	122	122
violin	87	87	87
drummachine	84	84	84
sampler	64	64	64
electricpiano	53	53	53
cello	47	47	47
strings	42	42	42
saxophone	41	41	41
beat	40	40	40
percussion	40	40	40
classicalguitar	35	35	35
flute	34	34	34
trumpet	27	27	27
orchestra	25	25	25
accordion	23	23	23
doublebass	22	22	22
harp	22	22	22
