tag	artists	albums	tracks
synthesizer	291	291	291
bass	275	275	275
drums	261	261	261
piano	248	248	248
electricguitar	246	246	246
guitar	181	181	181
acousticguitar	97	97	97
keyboard	94	94	94
computer	91	91	91
voice	90	90	90
violin	87	87	87
drummachine	84	84	84
sampler	64	64	64
electricpiano	53	53	53
cello	47	47	47
strings	42	42	42
saxophone	41	41	41
beat	40	40	40
percussion	40	40	40
classicalguitar	35	35	35
flute	34	34	34
trumpet	27	27	27
orchestra	25	25	25
accordion	23	23	23
doublebass	22	22	22
harp	22	22	22
